ID,Expiry,Election,Spot_0.9,Mean_0.9,Mean_0.2,Spot_0.1,Mean_0.1,Spot_0
496676,0,1,42.2,59.5578125,43.9547619,43.5,42.52857143,40
664440,0,1,46.8,57.47414634,49.25274725,49,49.51111111,50
74658,0,0,42,47.05178571,61.20967742,64,64.87096774,63
516515,0,1,0.1,1.121483376,1.179310345,0.5,0.541860465,0.5
416600,0,1,39.9,22.86263736,25.73049645,25,26.71428571,40
317665,0,1,8.5,11.95655431,14.51525424,11,15.79655172,45
92680,0,0,25,23.2125,15.21428571,14,12.35714286,3
664466,0,1,26.9,49.66896552,57.51639344,60,53.27868852,50
758550,100,1,99.6,85.47702703,55.1875,50,47.8625,40
471486,100,1,66.2,34.20580271,15.44347826,10,16.66666667,33
483496,0,1,25.1,49.87047619,36.10869565,33,26.13043478,20
317777,0,1,20,33.49772727,46.17241379,50,46.27586207,25
496028,0,1,0.1,1.037777778,2.916,4.3,4.314,5
735284,0,0,1.1,26.35238095,68.36621622,78,77.39189189,79.9
756475,0,1,40,17.02777778,7.3,7,6.1,4
235837,100,0,24.5,25.31120332,57,66,66.01538462,67
496659,100,1,65,75.82613636,72.17948718,72.5,71.23684211,74
749792,100,1,13.5,17.5801105,11.7325,8.1,14.625,19.9
253435,0,1,0.6,3.565738964,2.335930736,2.6,2.228695652,1
552169,100,0,71,40.05541401,32.35652174,33,30.47058824,25
173053,0,0,33,41.01538462,44.16666667,46.5,42.5,42.5
149145,100,0,50,51.39431818,41.11052632,42.8,35.33333333,46
552168,0,0,18.5,51.15414013,54.17391304,52,51.70588235,51
751717,0,1,29.3,6.531404959,1,1,1,1
25881,100,1,60.1,63.91934783,69.35294118,69,69.70588235,72
462622,0,0,0.1,11.4122449,18.32201835,15.1,13.82777778,3
317588,0,1,67.6,82.12706767,85.81355932,91,88.89655172,48
317761,0,1,17,75.36022727,91.93965517,93,90.87931034,90
26004,100,1,85,89.23130435,95,95,95,95
